OrderNumber,Sales Channel,ProcuredDate,OrderDate,ShipDate,DeliveryDate,SalesTeamID,CustomerID,StoreID,ProductID,Order_Quantity,Discount_Applied,Unit_Price,Unit_Cost,Customer_Names,City_Name,County,State,Type,Latitude,Longitude,AreaCode,Population,Household_Income,Median_Income,Land_Area,Water_Area,Time_Zone,Product_Name,Sales_Team,Region,Procured_Year,Order_Year,Order_Month,Month,Order_Month_Name,Supply Duration,Sales
SO - 000101,In-Store,2017-12-31,2018-05-31,2018-06-14,2018-06-19,6,15,259,12,5,0.075,1963.1000000000001,1001.181,Rochester Ltd,Babylon (Town),Suffolk County,New York,Town,40.64092,-73.31669,631,213776,68789,80327,135481314,160302131,America/New York,Dining Furniture,Joshua Bennett,Northeast,2017,2018,5,December,May,19,9815.5
SO - 0002491,In-Store,2018-10-27,2019-03-06,2019-03-25,2019-03-30,6,11,143,12,7,0.15,1051.9,610.102,Apollo Ltd,Macon,Bibb County,Georgia,Other,32.808840000000004,-83.69419,478,153515,57025,36568,645603627,14488557,America/New York,Dining Furniture,Joshua Bennett,Northeast,2018,2019,3,October,March,24,7363.300000000001
SO - 0001458,In-Store,2018-07-19,2018-11-09,2018-11-11,2018-11-17,6,12,94,12,8,0.3,1011.7,435.031,Medline ,Colorado Springs,El Paso County,Colorado,City,38.83388,-104.82136,719,456568,174441,54527,506667557,947196,America/Denver,Dining Furniture,Joshua Bennett,Northeast,2018,2018,11,July,November,8,8093.6
SO - 0005166,In-Store,2019-08-23,2020-01-22,2020-01-28,2020-01-31,6,7,262,12,5,0.05,1909.5,954.75,New Ltd,Buffalo,Erie County,New York,City,42.88645,-78.87837,716,258071,110549,31918,104592941,31362925,America/New York,Dining Furniture,Joshua Bennett,Northeast,2019,2020,1,August,January,9,9547.5
SO - 0002439,In-Store,2018-10-27,2019-02-26,2019-03-06,2019-03-10,6,33,254,12,3,0.2,1775.5,1047.5449999999998,Trigen ,Paradise,Clark County,Nevada,CDP,36.09719,-115.14666,702,223182,88401,43911,121034884,0,America/Los Angeles,Dining Furniture,Joshua Bennett,Northeast,2018,2019,2,October,February,12,5326.5
SO - 0006567,In-Store,2020-03-10,2020-07-06,2020-07-18,2020-07-22,6,18,139,9,4,0.075,1145.7,756.162,Eminence Corp,Athens,Clarke County,Georgia,Unified Government,33.95219,-83.36715,706,123912,45389,39464,308738452,4741286,America/New York,Baseball,Joshua Bennett,Northeast,2020,2020,7,March,July,16,4582.8
SO - 0001359,In-Store,2018-07-19,2018-10-29,2018-11-02,2018-11-09,6,31,100,9,2,0.05,1118.9,548.2610000000001,Uriel Group,Pueblo,Pueblo County,Colorado,City,38.25445,-104.60914,719,109412,43249,34550,138802381,2033674,America/Denver,Baseball,Joshua Bennett,Northeast,2018,2018,10,July,October,11,2237.8
SO - 0006713,In-Store,2020-03-10,2020-07-21,2020-08-15,2020-08-16,6,48,259,6,3,0.075,2492.4,1246.2,"Fenwal, Corp",Babylon (Town),Suffolk County,New York,Town,40.64092,-73.31669,631,213776,68789,80327,135481314,160302131,America/New York,Computers,Joshua Bennett,Northeast,2020,2020,7,March,July,26,7477.200000000001
SO - 0002401,In-Store,2018-10-27,2019-02-21,2019-03-08,2019-03-17,6,46,77,6,6,0.075,5487.3,4060.602,U.S. Ltd,Santa Maria,Santa Barbara County,California,City,34.95303,-120.43572,805,105093,27365,50433,59005328,1648788,America/Los Angeles,Computers,Joshua Bennett,Northeast,2018,2019,2,October,February,24,32923.8
SO - 0006674,In-Store,2020-03-10,2020-07-17,2020-08-11,2020-08-15,6,9,161,6,8,0.075,194.3,110.75099999999999,Ei ,Joliet,Kendall County/Will County,Illinois,City,41.5177,-88.14885,815,147861,46895,60976,166876584,1718805,America/Chicago,Computers,Joshua Bennett,Northeast,2020,2020,7,March,July,29,1554.4
SO - 0005700,In-Store,2019-12-01,2020-03-26,2020-04-13,2020-04-22,6,41,310,6,5,0.05,1058.6000000000001,455.19800000000004,Weimei Corp,Austin,Hays County/Williamson County/Travis County,Texas,City,30.30394,-97.75436,512,931830,351195,57689,809976356,17536404,America/Chicago,Computers,Joshua Bennett,Northeast,2019,2020,3,December,March,27,5293.000000000001
SO - 0007165,In-Store,2020-06-18,2020-09-15,2020-10-12,2020-10-21,6,13,246,6,3,0.05,938.0,497.14000000000004,Ole Group,Paterson,Passaic County,New Jersey,City,40.91677,-74.17181,973,147754,43037,32915,21790122,762701,America/New York,Computers,Joshua Bennett,Northeast,2020,2020,9,June,September,36,2814.0
SO - 000947,In-Store,2018-07-19,2018-09-07,2018-09-19,2018-09-20,6,48,101,6,7,0.4,2298.1,988.183,"Fenwal, Corp",Thornton,Adams County/Weld County,Colorado,City,39.91942,-104.94281,303,133451,42679,66948,92549444,2767648,America/Denver,Computers,Joshua Bennett,Northeast,2018,2018,9,July,September,13,16086.699999999999
SO - 0007345,In-Store,2020-06-18,2020-10-04,2020-10-30,2020-11-02,6,27,350,6,5,0.05,951.4,447.15799999999996,Wuxi Group,Arlington,Arlington County,Virginia,CDP,38.890390000000004,-77.08414,571,220173,98441,105763,67318429,244142,America/New York,Computers,Joshua Bennett,Northeast,2020,2020,10,June,October,29,4757.0
SO - 0007659,In-Store,2020-06-18,2020-11-09,2020-12-07,2020-12-17,6,22,299,6,8,0.15,1038.5,726.9499999999999,Capweld ,North Charleston,Dorchester County/Berkeley County/Charleston County,South Carolina,City,32.91782,-80.06503,843,108304,37597,39543,190807625,8969264,America/New York,Computers,Joshua Bennett,Northeast,2020,2020,11,June,November,38,8308.0
SO - 0003340,In-Store,2019-02-04,2019-06-13,2019-07-06,2019-07-15,6,50,40,35,3,0.075,891.1,543.571,Sundial ,Glendale,Los Angeles County,California,City,34.14251,-118.25508,818,201020,71498,52574,78818661,337115,America/Los Angeles,Table Linens,Joshua Bennett,Northeast,2019,2019,6,February,June,32,2673.3
SO - 0001714,In-Store,2018-10-27,2018-12-09,2018-12-22,2018-12-29,6,6,309,35,5,0.05,221.1,97.28399999999999,"PEDIFIX, Corp",Arlington,Tarrant County,Texas,City,32.73569,-97.10807,682,388125,133808,53326,248200304,9682817,America/Chicago,Table Linens,Joshua Bennett,Northeast,2018,2018,12,October,December,20,1105.5
SO - 0002795,In-Store,2019-02-04,2019-04-14,2019-05-10,2019-05-11,6,11,1,35,6,0.05,3872.6,2517.19,Apollo Ltd,Birmingham,Shelby County/Jefferson County,Alabama,City,33.52744,-86.79905,205,212461,89972,31061,378353942,6591013,America/Chicago,Table Linens,Joshua Bennett,Northeast,2019,2019,4,February,April,27,23235.6
