Activity Period,Operating Airline,Operating Airline IATA Code,Published Airline,Published Airline IATA Code,GEO Summary,GEO Region,Activity Type Code,Cargo Type Code,Cargo Aircraft Type,Cargo Weight LBS,Cargo Metric TONS
200507,ABX Air,GB,ABX Air,GB,Domestic,US,Deplaned,Cargo,Freighter,45423,20.604
200507,ABX Air,GB,ABX Air,GB,Domestic,US,Enplaned,Cargo,Freighter,106869,48.476
200507,ATA Airlines,TZ,ATA Airlines,TZ,Domestic,US,Deplaned,Cargo,Passenger,55427,25.142
200507,ATA Airlines,TZ,ATA Airlines,TZ,Domestic,US,Deplaned,Mail,Passenger,50278,22.806
200507,ATA Airlines,TZ,ATA Airlines,TZ,Domestic,US,Enplaned,Cargo,Passenger,74183,33.649
200507,ATA Airlines,TZ,ATA Airlines,TZ,Domestic,US,Enplaned,Mail,Passenger,347558,157.652
200507,Air Canada,AC,Air Canada,AC,International,Canada,Deplaned,Cargo,Passenger,47025,21.331
200507,Air Canada,AC,Air Canada,AC,International,Canada,Deplaned,Express,Passenger,7234,3.281
200507,Air Canada,AC,Air Canada,AC,International,Canada,Deplaned,Mail,Passenger,29762,13.5
200507,Air Canada,AC,Air Canada,AC,International,Canada,Enplaned,Cargo,Passenger,37291,16.915
200507,Air Canada,AC,Air Canada,AC,International,Canada,Enplaned,Express,Passenger,6707,3.042
200507,Air Canada,AC,Air Canada,AC,International,Canada,Enplaned,Mail,Passenger,67831,30.768
200507,Air China,CA,Air China,CA,International,Asia,Deplaned,Cargo,Passenger,1127590,511.475
200507,Air China,CA,Air China,CA,International,Asia,Enplaned,Cargo,Passenger,353098,160.165
200507,Air France,AF,Air France,AF,International,Europe,Deplaned,Cargo,Passenger,464002,210.471
200507,Air France,AF,Air France,AF,International,Europe,Deplaned,Mail,Passenger,38810,17.604
200507,Air France,AF,Air France,AF,International,Europe,Enplaned,Cargo,Passenger,423069,191.904
200507,Air France,AF,Air France,AF,International,Europe,Enplaned,Mail,Passenger,100001,45.36
200507,Air New Zealand,NZ,Air New Zealand,NZ,International,Australia / Oceania,Deplaned,Cargo,Passenger,317156,143.862
200507,Air New Zealand,NZ,Air New Zealand,NZ,International,Australia / Oceania,Deplaned,Mail,Passenger,11548,5.238
200507,Air New Zealand,NZ,Air New Zealand,NZ,International,Australia / Oceania,Enplaned,Cargo,Passenger,221652,100.541
200507,Alaska Airlines,AS,Alaska Airlines,AS,Domestic,US,Deplaned,Cargo,Passenger,153748,69.74
200507,Alaska Airlines,AS,Alaska Airlines,AS,Domestic,US,Deplaned,Express,Passenger,3713,1.684
200507,Alaska Airlines,AS,Alaska Airlines,AS,Domestic,US,Enplaned,Cargo,Passenger,295930,134.234
200507,Alaska Airlines,AS,Alaska Airlines,AS,Domestic,US,Enplaned,Express,Passenger,3367,1.527
200507,Alaska Airlines,AS,Alaska Airlines,AS,Domestic,US,Enplaned,Mail,Passenger,28705,13.021
200507,Alaska Airlines,AS,Alaska Airlines,AS,International,Canada,Deplaned,Cargo,Passenger,34206,15.516
200507,Alaska Airlines,AS,Alaska Airlines,AS,International,Canada,Enplaned,Cargo,Passenger,21031,9.54
200507,Alaska Airlines,AS,Alaska Airlines,AS,International,Canada,Enplaned,Mail,Passenger,48979,22.217
200507,Alaska Airlines,AS,Alaska Airlines,AS,International,Mexico,Deplaned,Cargo,Passenger,99222,45.007
