ccode,year,eventid,id,countryname,etype,startdate,enddate,stday,stmo,styr,eday,emo,eyr,duration,actor1,actor1id,actor1coherent,actor2,actor2id,actor2coherent,actor3,actor3id,actor3coherent,target1,target1id,target1coherent,target2,target2id,target2coherent,cgovtarget,rgovtarget,npart,ndeath,repress,elocal,ilocal,sublocal,locnum,gislocnum,issue1,issue2,issue3,issuenote,nsource,acd_questionable,notes,escalation,latitude,longitude,geo_comments,location_precision
41,1990,410037,37,Haiti,5,1/12/90,1/12/90,12,1,1990,12,1,1990,1,Radical People's Power Youth Association,41.13.820,1,20 opposition political parties and unions,41.0407,0,,,,Government,41.01,0,,,,1,0,-99,0,1,Nationwide,Nationwide,1,7,7,10,,,24 hour general strike was called to protest the military government of Lt. Gen. Prosper Avril.,AP,0,"Coded as nationwide because it was a general strike, but exact locations not specified in article",0,19,-72,,
41,1990,410038,38,Haiti,1,3/5/90,3/5/90,5,3,1990,5,3,1990,1,Confederation of Democratic Unity,41.04.315,1,Political parties and civic groups,41.04,0,,,,Government,41.01,0,,,,1,0,-99,1,2,Petit Goave,Petit Goave,1,3,3,10,,,18 political parties and civic groups protested to demand the resignation of Lt. Gen. Prosper Avril and also the arrest of a youth.,AP,0,,0,18,-73,,
41,1990,410039,39,Haiti,2,3/6/90,3/10/90,6,3,1990,10,3,1990,5,Students,41.09,0,Opposition groups,41.04,0,Other citizens,41.15,0,Government,41.01,0,,,,1,0,5,-77,2,Gonaives; Port-Au-Prince; Cap-Haitien; Petit Goave; Jacmel; Jeremie; Leogane; and Mirebalais,Gonaives,1,7,8,10,,,Thousands of students and other citizens protest nationwide the regime of Lt. Gen. Prosper Avril and the killing of an 11-year old girl during a protest on March 5; cars and tires set on fire and several citizens killed in police clashes. ,AP,0,,4,18,-73,,
41,1990,410040,40,Haiti,4,3/10/90,3/11/90,10,3,1990,11,3,1990,2,Gangs,41.11,0,Other citizens,41.15,0,,,,Government,41.01,0,,,,1,0,4,-77,2,Port-Au-Prince and Carrefour,Port-Au-Prince,1,4,4,10,,,Thousands of students and other citizens protest nationwide the regime of Lt. Gen. Prosper Avril and the killing of an 11-year old girl during a protest on March 5; cars and tires set on fire and several citizens killed in police clashes. ,AP,0,,0,19,-72,,
41,1990,410044,44,Haiti,9,3/18/90,3/18/90,18,3,1990,18,3,1990,1,Masked thugs,41.18,0,,,,,,,Nuns,41.12,0,,,,0,0,-99,-88,0,Port-Au-Prince,Port-Au-Prince,1,1,1,14,,,Masked thugs beat eight nuns and slashed them with machetes at a Catholic girls' school in Port-au-Prince.,AP,0,,0,19,-72,,
41,1990,410045,45,Haiti,2,3/19/90,3/19/90,19,3,1990,19,3,1990,1,Peasants,41.07,0,,,,,,,Government opponents,41.15,0,,,,0,0,4,0,1,Borgne,Borgne,1,3,3,11,,,At least 10 peasants were wounded Monday in the north coast town of Borgne during a demonstration in favor of the Pascal-Trouillot government.,AP,0,,0,19,-73,,
41,1990,410046,46,Haiti,8,3/19/90,3/19/90,19,3,1990,19,3,1990,1,Unknown assailants,41.18,0,,,,,,,Soldier,41.03,0,,,,1,0,-99,1,0,Port-Au-Prince,Port-Au-Prince,1,1,1,14,,,A soldier was killed by unknown assailants.,AP,0,,0,19,-72,,
41,1990,410047,47,Haiti,4,3/19/90,3/21/90,19,3,1990,21,3,1990,3,Gunmen,41.18,0,,,,,,,Citizens,41.15,0,,,,0,0,-99,4,0,Port-Au-Prince,Port-Au-Prince,1,1,1,14,,,"Marauding gunmen terrorized residents, killing at least four people and wounding eight.",AP,0,"Cautiously coded as issue type 14, but could be pro-Avril violence",0,19,-72,,
41,1990,410048,48,Haiti,9,3/20/90,3/20/90,20,3,1990,20,3,1990,1,Unknown assailants,41.18,0,,,,,,,School children,41.09,0,,,,0,0,-99,0,0,Port-Au-Prince,Port-Au-Prince,1,1,1,14,,,"Assailants in a white jeep shot tear gas canisters into two schoolyards, causing hundreds of primary students to have vomiting fits.",AP,0,"Cautiously coded as issue type 14, but could be pro-Avril violence",0,19,-72,,
41,1990,410049,49,Haiti,4,3/20/90,3/20/90,20,3,1990,20,3,1990,1,Unknown assailants,41.18,0,,,,,,,Neighborhood self-defense group,41.03,0,Citizens,41.15,0,0,0,-99,13,0,Petit Goave,Petit Goave,1,3,3,14,,,"13 people, including 11 members of a neighborhood self-defense group, were killed in Petit Goave.",AP,0,"Cautiously coded as issue type 14, but could be pro-Avril violence",0,18,-73,,
41,1990,410050,50,Haiti,4,3/20/90,3/20/90,20,3,1990,20,3,1990,1,Residents,41.15,0,,,,,,,Gunman,41.11,0,,,,0,0,-99,1,0,Port-Au-Prince,Port-Au-Prince,1,1,1,9,,,Residents in Fontamara killed a gunman after he wounded a youth.,AP,0,,0,19,-72,,
41,1990,410051,51,Haiti,4,3/21/90,3/21/90,21,3,1990,21,3,1990,1,Unknown assailants,41.18,0,,,,,,,Security guard,41.07,0,Citizens,41.15,0,0,0,-99,1,0,Port-Au-Prince,Port-Au-Prince,1,1,1,14,,,Gunmen trying to hold up a rice storehouse killed  security guard and shot up the building before driving off and shooting at passers-by.,AP,0,"Cautiously coded as issue type 14, but could be pro-Avril violence",0,19,-72,,
41,1990,410052,52,Haiti,4,3/22/90,3/22/90,22,3,1990,22,3,1990,1,Armed men,41.18,0,,,,,,,Marie-Michele de Ronceray,41.04.322,1,,,,0,0,1,0,0,Port-Au-Prince,Port-Au-Prince,1,1,1,14,,,"Marie-Michele de Ronceray, wife of conservative politician Hubert de Ronceray, was shot in the left shoulder by assailants as she was being driven home.",AP,0,"Cautiously coded as issue type 14, but could be pro-Avril violence",0,19,-72,,
41,1990,410053,53,Haiti,4,3/22/90,3/22/90,22,3,1990,22,3,1990,1,Mob,41.18,0,,,,,,,Romer Deruisseaux,41.05.413,1,,,,0,0,-99,1,0,Port-Au-Prince,Port-Au-Prince,1,1,1,11,,,"An angry mob beat to death and burned the remains of Romer Deruisseaux, a former member of Duvalier's dreaded militia.",AP,0,Coded as pro-government violence because former militiamen target of violence,0,19,-72,,
41,1990,410054,54,Haiti,4,3/23/90,3/23/90,23,3,1990,23,3,1990,1,Soliders,41.03,0,Armed men,41.18,0,,,,Civilian defense groups,41.03,0,,,,0,0,-99,14,0,Port-Au-Prince,Port-Au-Prince,1,1,1,14,,,Soldiers and armed men killed 14 members of civilian defense groups.,AP,0,"Cautiously coded as issue type 14, but could be pro-Avril violence",0,19,-72,,
41,1990,410055,55,Haiti,4,3/23/90,3/23/90,23,3,1990,23,3,1990,1,Residents,41.15,0,,,,,,,Alleged paramilitary thugs,41.05,0,,,,0,0,-99,3,0,Unknown,Unknown,1,-99,-99,11,,,"Angry residents killed three alleged paramilitary thugs, former members of Duvalier's dreaded militia.",AP,0,Coded as pro-government violence because former militiamen target of violence,0,19,-72,UNKNOWN,no
41,1990,410056,56,Haiti,2,3/23/90,3/23/90,23,3,1990,23,3,1990,1,Youths,41.15,0,,,,,,,Citizens and soldiers committing violence,41.0311,0,,,,0,0,-99,0,0,Port-Au-Prince,Port-Au-Prince,1,1,1,9,,,Youths erected barricades at a main intersection to protest the killings of March 23.,AP,0,,0,19,-72,,
